source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-hcp/disease/am	sub-AB462FH0_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.352111	0.933546	0.626349
data-hcp/disease/am	sub-AC286ZE7_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.458505	0.922680	0.565940
data-hcp/disease/am	sub-AC789HEZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.019380	0.917643	0.560723
data-hcp/disease/am	sub-AH947BE7_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.577693	0.919720	0.574130
data-hcp/disease/am	sub-AK355PMH_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.325425	0.910688	0.546913
data-hcp/disease/am	sub-AP085ZWF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.779203	0.924656	0.592135
data-hcp/disease/am	sub-BB471NAU_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.087552	0.921888	0.611381
data-hcp/disease/am	sub-BC931RBR_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.369797	0.907773	0.551861
data-hcp/disease/am	sub-BD224PBF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.221374	0.915043	0.560939
data-hcp/disease/am	sub-BD233CBV_dwi	1.5 1.5 1.5 	28/370	3010.000000	3.036476	0.935812	0.654478
data-hcp/disease/am	sub-BD391CN8_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.127656	0.929265	0.654103
data-hcp/disease/am	sub-BE049VJV_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.375731	0.922255	0.580361
data-hcp/disease/am	sub-BE513RT4_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.387192	0.931546	0.656194
data-hcp/disease/am	sub-BF292NPE_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.067026	0.915933	0.553314
data-hcp/disease/am	sub-BF327JV3_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.342635	0.920248	0.585463
data-hcp/disease/am	sub-BF462CRC_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.294938	0.923489	0.625282
data-hcp/disease/am	sub-BG497RE1_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.200924	0.914228	0.552662
data-hcp/disease/am	sub-BJ479DNM_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.584376	0.924974	0.616082
data-hcp/disease/am	sub-BK027PDF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.185871	0.925470	0.647932
data-hcp/disease/am	sub-BL814BJK_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.425894	0.919945	0.586541
data-hcp/disease/am	sub-BN898TJE_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.603414	0.935168	0.641863
data-hcp/disease/am	sub-BP353XD2_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.092255	0.918470	0.578840
data-hcp/disease/am	sub-BT583XH6_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.707489	0.930782	0.638244
data-hcp/disease/am	sub-BV826WGR_dwi	1.5 1.5 1.5 	28/370	3010.000000	1.137942	0.825270	0.259576
data-hcp/disease/am	sub-BX751GMR_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.479177	0.926828	0.605877
data-hcp/disease/am	sub-BX891PYU_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.166927	0.913155	0.559230
data-hcp/disease/am	sub-CE114CEP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.858072	0.928429	0.602230
data-hcp/disease/am	sub-CG071YN8_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.525739	0.923543	0.592842
data-hcp/disease/am	sub-CG271VGC_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.480209	0.912476	0.538275
data-hcp/disease/am	sub-CJ507GP3_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.032317	0.920648	0.609256
data-hcp/disease/am	sub-CM769WZL_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.478943	0.932002	0.627630
data-hcp/disease/am	sub-CY406TU1_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.209734	0.920402	0.568085
data-hcp/disease/am	sub-CY714KMT_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.864012	0.934899	0.637069
data-hcp/disease/am	sub-DC373VFK_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.475795	0.932135	0.637377
data-hcp/disease/am	sub-DL667VMW_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.289882	0.917683	0.555464
data-hcp/disease/am	sub-DP285CUK_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.627416	0.929650	0.618496
data-hcp/disease/am	sub-DR017YX2_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.264248	0.936644	0.657248
data-hcp/disease/am	sub-DU282NKX_dwi	1.5 1.5 1.5 	28/370	3010.000000	1.931345	0.930795	0.626759
data-hcp/disease/am	sub-DV056JZW_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.503730	0.907546	0.497367
data-hcp/disease/am	sub-DY284VH9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.309877	0.929647	0.616930
data-hcp/disease/am	sub-DY771TXZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.490074	0.930112	0.629104
data-hcp/disease/am	sub-EB293BD3_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.709516	0.930643	0.629710
data-hcp/disease/am	sub-EB933ZEU_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.574102	0.913493	0.559795
data-hcp/disease/am	sub-EH040NBZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.404118	0.911154	0.531284
data-hcp/disease/am	sub-EU727GCY_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.381807	0.921811	0.595454
data-hcp/disease/am	sub-EU790BVQ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.461868	0.912054	0.530088
data-hcp/disease/am	sub-EV437ZRD_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.472649	0.923179	0.620795
data-hcp/disease/am	sub-EW484UCJ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.445475	0.914092	0.554432
data-hcp/disease/am	sub-EZ915JK5_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.276501	0.929440	0.628009
data-hcp/disease/am	sub-FG715MC9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.666460	0.923309	0.604024
data-hcp/disease/am	sub-FH525MFZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	1.954548	0.913232	0.585991
data-hcp/disease/am	sub-FJ182WAX_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.340228	0.912055	0.546627
data-hcp/disease/am	sub-FK058LLQ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.398793	0.923732	0.597800
data-hcp/disease/am	sub-FN169LLA_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.131023	0.906397	0.503379
data-hcp/disease/am	sub-FN432HL4_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.115751	0.920103	0.590250
data-hcp/disease/am	sub-FR746ENQ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.330937	0.923797	0.622705
data-hcp/disease/am	sub-FW096LMD_dwi	1.5 1.5 1.5 	21/277	3010.000000	2.435279	0.909990	0.566109
data-hcp/disease/am	sub-FW879NK5_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.313978	0.923527	0.604857
data-hcp/disease/am	sub-FX654VD0_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.388656	0.925168	0.615970
data-hcp/disease/am	sub-GA244FWA_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.512675	0.917477	0.574862
data-hcp/disease/am	sub-GA844BF5_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.399433	0.908871	0.546461
data-hcp/disease/am	sub-GA858JGD_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.480236	0.917008	0.551139
data-hcp/disease/am	sub-GH895WJJ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.348640	0.930172	0.624864
data-hcp/disease/am	sub-GL122XCP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.446272	0.935023	0.655394
data-hcp/disease/am	sub-GN596ENP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.090560	0.914697	0.576335
data-hcp/disease/am	sub-GN658YEF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.517043	0.921069	0.583735
data-hcp/disease/am	sub-GR637FTT_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.050094	0.932636	0.663041
data-hcp/disease/am	sub-GR782ALD_dwi	1.5 1.5 1.5 	28/370	3010.000000	1.278342	0.881469	0.579282
data-hcp/disease/am	sub-GY602CJT_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.007737	0.924919	0.643512
data-hcp/disease/am	sub-HA109LH7_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.048685	0.930393	0.646985
data-hcp/disease/am	sub-HB314KBL_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.224935	0.908876	0.546381
data-hcp/disease/am	sub-HD523CCU_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.112468	0.908770	0.545250
data-hcp/disease/am	sub-HT268RLP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.534979	0.927342	0.621880
data-hcp/disease/am	sub-HT962AWZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.250486	0.912480	0.548907
data-hcp/disease/am	sub-HU677DFF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.727801	0.932538	0.619121
data-hcp/disease/am	sub-HW057DDD_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.308254	0.926555	0.624121
data-hcp/disease/am	sub-HX487CT9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.627334	0.927595	0.610789
data-hcp/disease/am	sub-HX662HCK_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.271175	0.917413	0.610178
data-hcp/disease/am	sub-HZ301NUW_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.448381	0.914265	0.541593
data-hcp/disease/am	sub-JD271PMF_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.312449	0.915877	0.572884
data-hcp/disease/am	sub-JD548GTC_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.237657	0.917352	0.565905
data-hcp/disease/am	sub-JD610TT3_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.493854	0.927687	0.630026
data-hcp/disease/am	sub-JE397DXZ_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.480842	0.921576	0.594928
data-hcp/disease/am	sub-JE761AT2_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.533211	0.923678	0.597680
data-hcp/disease/am	sub-JF870TW0_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.703328	0.931900	0.635907
data-hcp/disease/am	sub-JH406WC9_dwi	1.5 1.5 1.5 	28/370	3010.000000	1.207648	0.861940	0.469431
data-hcp/disease/am	sub-JK112DT9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.405264	0.924362	0.593034
data-hcp/disease/am	sub-JL083WMP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.520944	0.936751	0.634598
data-hcp/disease/am	sub-JU569XVB_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.419344	0.918366	0.577462
data-hcp/disease/am	sub-JV850MM5_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.589802	0.925680	0.596084
data-hcp/disease/am	sub-JX049ZZW_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.405082	0.928518	0.628514
data-hcp/disease/am	sub-JX575DVK_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.266923	0.932492	0.641644
data-hcp/disease/am	sub-JY042TLY_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.361532	0.927571	0.629909
data-hcp/disease/am	sub-KG824UJV_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.464705	0.932196	0.658204
data-hcp/disease/am	sub-KM333VX2_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.355027	0.922753	0.600919
data-hcp/disease/am	sub-KN305AUG_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.438191	0.928792	0.618402
data-hcp/disease/am	sub-KR291PWN_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.256830	0.919153	0.603253
data-hcp/disease/am	sub-KT114VC9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.692791	0.926966	0.613030
data-hcp/disease/am	sub-KU015LTM_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.606266	0.920668	0.590420
data-hcp/disease/am	sub-KV126RTP_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.344123	0.933984	0.644324
data-hcp/disease/am	sub-KV612FZA_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.827615	0.935287	0.643654
data-hcp/disease/am	sub-KX717YEC_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.296657	0.919202	0.579170
data-hcp/disease/am	sub-LF454VE9_dwi	1.5 1.5 1.5 	28/370	3010.000000	2.783751	0.926167	0.601741
